"rules","support","confidence","coverage","lift","count"
"{LUNCH,Salads,Snacks/Sandwich} => {Soups}",0.136117991443369,0.770554493307839,0.176649403287548,1.96245591671978,2418
"{LUNCH,Main Courses,Snacks/Sandwich} => {Soups}",0.148727764017113,0.754210676562946,0.197196577347444,1.92083132020992,2642
"{Lobby Bar,Salads,Snacks/Sandwich} => {Soups}",0.1456879081288,0.74819311939867,0.194719657734744,1.90550574523268,2588
"{LUNCH,Lobby Bar,Snacks/Sandwich} => {Soups}",0.157171808151317,0.744930629669157,0.210988516099977,1.89719680364773,2792
"{Coffee/Tea,Salads,Snacks/Sandwich} => {Soups}",0.14940328754785,0.739894061890159,0.201925242062599,1.88436962228198,2654
"{Lobby Bar,Main Courses,Snacks/Sandwich} => {Soups}",0.158072506192299,0.738947368421053,0.213915784733168,1.88195857385399,2808
"{DINNER,LUNCH,Snacks/Sandwich} => {Soups}",0.16347669443819,0.728002005515167,0.224555280342265,1.85408281375934,2904
"{Coffee/Tea,Main Courses,Snacks/Sandwich} => {Soups}",0.162350821886962,0.72791519434629,0.223035352398109,1.85386172220322,2884
"{Coffee/Tea,Lobby Bar,Snacks/Sandwich} => {Soups}",0.166572843954064,0.723471882640587,0.230240936725963,1.84254545135876,2959
"{Coffee/Tea,LUNCH,Snacks/Sandwich} => {Soups}",0.156496284620581,0.722265523512601,0.216674172483675,1.83947308382478,2780
"{DINNER,Lobby Bar,Snacks/Sandwich} => {Soups}",0.183629813105156,0.706519384881958,0.259907678450799,1.79937065993449,3262
"{Main Courses,Salads,Snacks/Sandwich} => {Soups}",0.153287547849583,0.702347175651277,0.218250394055393,1.78874483559416,2723
"{Coffee/Tea,DINNER,Snacks/Sandwich} => {Soups}",0.183854987615402,0.697267292912041,0.263679351497411,1.77580733925297,3266
"{LUNCH,Main Courses,Salads} => {Soups}",0.154244539518127,0.695961391922784,0.221628011709075,1.77248145750772,2740
"{Dessert,LUNCH,Lobby Bar} => {Coffee/Tea}",0.144843503715379,0.959358687546607,0.150979509119568,1.75149514137492,2573
"{Coffee/Tea,Main Courses,Sides} => {Soups}",0.101553704120694,0.6875,0.147714478721009,1.75093189964158,1804
"{DINNER,Salads,Snacks/Sandwich} => {Soups}",0.171582976807025,0.687260428410372,0.249662238234632,1.75032175631281,3048
"{Coffee/Tea,LUNCH,Salads} => {Soups}",0.162688583652331,0.68646080760095,0.236996172033326,1.74828527401051,2890
"{DINNER,LUNCH,Salads} => {Soups}",0.168317946408467,0.686252008262566,0.245271335284846,1.74775350176003,2990
"{Dessert,LUNCH,Salads} => {Coffee/Tea}",0.11134879531637,0.956479690522244,0.116415221796893,1.74623897455675,1978
"{LUNCH,Salads,Soups} => {Snacks/Sandwich}",0.136117991443369,0.728093947606143,0.186951137131277,1.7459315449886,2418
"{LUNCH,Lobby Bar,Salads} => {Soups}",0.161281242963297,0.684260807260568,0.235701418599415,1.74268229106477,2865
"{DINNER,Dessert,LUNCH} => {Coffee/Tea}",0.152217968925918,0.95345557122708,0.159648727764017,1.74071785891859,2704
"{Dessert,LUNCH,Snacks/Sandwich} => {Coffee/Tea}",0.101384823238009,0.952910052910053,0.106394956090971,1.73972190954719,1801
"{Dessert,LUNCH,Soups} => {Coffee/Tea}",0.102060346768746,0.952205882352941,0.10718306687683,1.73843630977571,1813
"{Coffee/Tea,Salads,Soups} => {Snacks/Sandwich}",0.14940328754785,0.724147339699864,0.206316145012385,1.73646778380513,2654
"{Dessert,LUNCH,Main Courses} => {Coffee/Tea}",0.125084440441342,0.95079161317929,0.131558207610898,1.73585428741181,2222
"{Coffee/Tea,Dessert,Salads} => {Soups}",0.100484125197028,0.681297709923664,0.147489304210763,1.73513584502996,1785
"{Dessert,Lobby Bar,Snacks/Sandwich} => {Coffee/Tea}",0.112362080612475,0.949571836346337,0.118329205133979,1.733627348495,1996
"{DINNER,LUNCH,Soups} => {Snacks/Sandwich}",0.16347669443819,0.722927557879014,0.226131501913983,1.73354281022716,2904
"{Dessert,Lobby Bar,Soups} => {Coffee/Tea}",0.113544246791263,0.948283968030089,0.119736545823013,1.73127609538402,2017
"{DINNER,Main Courses,Snacks/Sandwich} => {Soups}",0.189202882233731,0.67816787732042,0.2789912181941,1.72716475594551,3361
"{Lobby Bar,Salads,Soups} => {Snacks/Sandwich}",0.1456879081288,0.719688542825362,0.202431884710651,1.72577582002561,2588
"{DINNER,Salads,Sides} => {Soups}",0.103411393830218,0.676362297496318,0.152893492456654,1.72256628712897,1837
"{Dessert,Lobby Bar,Salads} => {Coffee/Tea}",0.126716955640621,0.943419949706622,0.134316595361405,1.72239588762471,2251
"{Beer Domestic Draft,Coffee/Tea,LUNCH} => {Lobby Bar}",0.13949560909705,0.953810623556582,0.146250844404413,1.72154967657581,2478
"{Beer Import Draft,Coffee/Tea,LUNCH} => {Lobby Bar}",0.120580950236433,0.953695458593054,0.126435487502815,1.72134181329476,2142
"{LUNCH,Main Courses,Soups} => {Snacks/Sandwich}",0.148727764017113,0.716766142159523,0.207498311191173,1.71876805471406,2642
"{DINNER,LUNCH,Soft Drink} => {Lobby Bar}",0.13409142085116,0.952038369304556,0.140846656158523,1.71835090350804,2382
"{Coffee/Tea,LUNCH,Soups} => {Snacks/Sandwich}",0.156496284620581,0.716125708397733,0.2185318621932,1.71723232775072,2780
"{Coffee/Tea,LUNCH,Soft Drink} => {Lobby Bar}",0.125591083089394,0.95138592750533,0.132008556631389,1.71717329975662,2231
"{LUNCH,Lobby Bar,Main Courses} => {Soups}",0.177099752308039,0.673373287671233,0.263003827966674,1.71495384690922,3146
"{Coffee/Tea,DINNER,Whiskey} => {Lobby Bar}",0.100315244314344,0.949893390191898,0.105606845305111,1.71447939274221,1782
"{Main Courses,Salads,Soups} => {Snacks/Sandwich}",0.153287547849583,0.714510627131986,0.214535014636343,1.71335944659457,2723
"{Dessert,Lobby Bar,Main Courses} => {Coffee/Tea}",0.143042107633416,0.936946902654867,0.152668317946408,1.7105780862036,2541
"{Beer Import Draft,DINNER,LUNCH} => {Lobby Bar}",0.132290024769196,0.944913550462405,0.140002251745102,1.70549119187301,2350
"{Coffee/Tea,Main Courses,Soups} => {Snacks/Sandwich}",0.162350821886962,0.710519832471052,0.22849583427156,1.7037897278639,2884
"{Coffee/Tea,Lobby Bar,Salads} => {Soups}",0.176874577797793,0.668084201573464,0.264748930421076,1.70148354935498,3142
